x_pixel,y_row,Cn2,BER,BER_percent
355.0,2284.000000,9.886440475883334e-19,0.0000000000,0.000000
356.0,2283.000000,9.924149636299445e-19,0.0000000000,0.000000
357.0,2282.000000,9.962002628136335e-19,0.0000000000,0.000000
358.0,2281.000000,1.000000000000000e-18,0.0000000000,0.000000
359.0,2280.000000,1.003814230258919e-18,0.0000000000,0.000000
360.0,2279.000000,1.007643008870313e-18,0.0000000000,0.000000
361.0,2278.000000,1.011486391324934e-18,0.0000000000,0.000000
362.0,2277.000000,1.015344433325219e-18,0.0000000000,0.000000
363.0,2276.000000,1.019217190786032e-18,0.0000000000,0.000000
364.0,2275.000000,1.023104719835538e-18,0.0000000000,0.000000
365.0,2274.000000,1.027007076815986e-18,0.0000000000,0.000000
366.0,2273.000000,1.030924318284501e-18,0.0000000000,0.000000
367.0,2272.000000,1.034856501013957e-18,0.0000000000,0.000000
368.0,2271.000000,1.038803681993771e-18,0.0000000000,0.000000
369.0,2270.000000,1.042765918430708e-18,0.0000000000,0.000000
370.0,2269.000000,1.046743267749764e-18,0.0000000000,0.000000
371.0,2267.500000,1.050735787594935e-18,0.0000000000,0.000000
372.0,2265.500000,1.054743535830108e-18,0.0000000000,0.000000
373.0,2263.500000,1.058766570539878e-18,0.0000000000,0.000000
374.0,2261.500000,1.062804950030363e-18,0.0000000000,0.000000
375.0,2259.500000,1.066858732830097e-18,0.0000000000,0.000000
376.0,2257.500000,1.070927977690858e-18,0.0000000000,0.000000
377.0,2255.500000,1.075012743588489e-18,0.0000000000,0.000000
378.0,2253.500000,1.079113089723817e-18,0.0000000000,0.000000
379.0,2251.500000,1.083229075523436e-18,0.0000000000,0.000000
380.0,2249.500000,1.087360760640638e-18,0.0000000000,0.000000
381.0,2247.500000,1.091508204956243e-18,0.0000000000,0.000000
382.0,2247.500000,1.095671468579446e-18,0.0000000000,0.000000
383.0,2249.500000,1.099850611848735e-18,0.0000000000,0.000000
384.0,2251.500000,1.104045695332748e-18,0.0000000000,0.000000
385.0,2253.500000,1.108256779831115e-18,0.0000000000,0.000000
386.0,2255.500000,1.112483926375407e-18,0.0000000000,0.000000
387.0,2257.500000,1.116727196229949e-18,0.0000000000,0.000000
388.0,2259.500000,1.120986650892766e-18,0.0000000000,0.000000
389.0,2261.500000,1.125262352096455e-18,0.0000000000,0.000000
390.0,2263.500000,1.129554361809043e-18,0.0000000000,0.000000
391.0,2265.500000,1.133862742234958e-18,0.0000000000,0.000000
392.0,2267.500000,1.138187555815851e-18,0.0000000000,0.000000
393.0,2269.000000,1.142528865231568e-18,0.0000000000,0.000000
394.0,2269.500000,1.146886733401032e-18,0.0000000000,0.000000
395.0,2269.500000,1.151261223483122e-18,0.0000000000,0.000000
396.0,2269.500000,1.155652398877651e-18,0.0000000000,0.000000
397.0,2269.500000,1.160060323226252e-18,0.0000000000,0.000000
398.0,2269.500000,1.164485060413272e-18,0.0000000000,0.000000
399.0,2269.500000,1.168926674566769e-18,0.0000000000,0.000000
400.0,2270.000000,1.173385230059358e-18,0.0000000000,0.000000
401.0,2271.000000,1.177860791509219e-18,0.0000000000,0.000000
402.0,2272.000000,1.182353423780997e-18,0.0000000000,0.000000
403.0,2266.000000,1.186863191986718e-18,0.0000000000,0.000000
404.0,2265.000000,1.191390161486791e-18,0.0000000000,0.000000
405.0,2264.000000,1.195934397890921e-18,0.0000000000,0.000000
406.0,2263.000000,1.200495967059039e-18,0.0000000000,0.000000
407.0,2262.000000,1.205074935102315e-18,0.0000000000,0.000000
408.0,2261.000000,1.209671368384047e-18,0.0000000000,0.000000
409.0,2260.500000,1.214285333520684e-18,0.0000000000,0.000000
410.0,2260.500000,1.218916897382770e-18,0.0000000000,0.000000
411.0,2260.500000,1.223566127095875e-18,0.0000000000,0.000000
412.0,2260.500000,1.228233090041631e-18,0.0000000000,0.000000
413.0,2260.500000,1.232917853858683e-18,0.0000000000,0.000000
414.0,2260.500000,1.237620486443632e-18,0.0000000000,0.000000
415.0,2260.500000,1.242341055952093e-18,0.0000000000,0.000000
416.0,2260.500000,1.247079630799603e-18,0.0000000000,0.000000
417.0,2260.500000,1.251836279662680e-18,0.0000000000,0.000000
418.0,2260.500000,1.256611071479791e-18,0.0000000000,0.000000
419.0,2260.500000,1.261404075452322e-18,0.0000000000,0.000000
420.0,2260.500000,1.266215361045646e-18,0.0000000000,0.000000
421.0,2260.500000,1.271044997990053e-18,0.0000000000,0.000000
422.0,2260.500000,1.275893056281834e-18,0.0000000000,0.000000
423.0,2260.500000,1.280759606184259e-18,0.0000000000,0.000000
424.0,2260.500000,1.285644718228568e-18,0.0000000000,0.000000
425.0,2260.500000,1.290548463215054e-18,0.0000000000,0.000000
426.0,2260.500000,1.295470912214060e-18,0.0000000000,0.000000
427.0,2260.500000,1.300412136566976e-18,0.0000000000,0.000000
428.0,2260.500000,1.305372207887346e-18,0.0000000000,0.000000
429.0,2260.500000,1.310351198061821e-18,0.0000000000,0.000000
430.0,2260.500000,1.315349179251278e-18,0.0000000000,0.000000
431.0,2260.500000,1.320366223891833e-18,0.0000000000,0.000000
432.0,2260.500000,1.325402404695856e-18,0.0000000000,0.000000
433.0,2260.500000,1.330457794653090e-18,0.0000000000,0.000000
434.0,2260.500000,1.335532467031681e-18,0.0000000000,0.000000
435.0,2260.500000,1.340626495379201e-18,0.0000000000,0.000000
436.0,2260.500000,1.345739953523796e-18,0.0000000000,0.000000
437.0,2260.500000,1.350872915575162e-18,0.0000000000,0.000000
438.0,2260.500000,1.356025455925702e-18,0.0000000000,0.000000
439.0,2260.500000,1.361197649251569e-18,0.0000000000,0.000000
